ID;Anime;Character;Quote;;;;;;;;
4385;(Sekai Ichi Hatsukoi);Ritsu Onodera;It's not like I'm pessimistic or anything... I'm just moving forward without looking back.;;;;;;;;
4386;(Neon Genesis Evangelion);Rei Ayanami;Those who hate themselves, cannot love or trust others.;;;;;;;;
4387;(Yahari Ore No Seishun Love Come Wa Machigatteiru);Hachiman Hikigaya;I hate nice girls. Just exchanging greetings with them will get them on your mind. Start texting each other, and your heart will be set a flutter. If they call you, you're done for. Enjoy staring at your logs and grinning like a fool. However, I won't get fooled again. That's what your kind calls kindness. If you're nice to me, you're nice to others. I always end up nearly forgetting that. Reality is cruel, so I'm sure lies are a form of kindness. Thus, I say kindness itself is also a lie. I always ended up with these expectations. And I always ended up with these misunderstandings. And before I knew it, I stopped hoping. A highly trained loner is once bitten, twice shy. As a veteran on this battlefield of life, I've gotten used to losing. That's why I always hate nice girls.;;;;;;;;
4388;(Fate/zero);Rider;Then you swear that, once I defeat an enemy, you will buy me pants?;;;;;;;;
4389;(Shingeki no Kyojin);Eren Jaeger;On that day, mankind received a grim reminder. We lived in fear of the titans, and were disgraced to live in these cages we called walls. ;;;;;;;;
4390;(Rurouni Kenshin);Kenshin Himura;We once fought together for an ideal with our swords. It wasn't for power or for glory, but to create a peaceful world where people could live without fear. And if you should forget about that, then what did we fight the revolution for? ;;;;;;;;
4391;(Tonari No Kaibutsu-kun);Yoshida Haru;You can't pick up water once it's spilled, so handle it carefully.;;;;;;;;
4392;(Ouran High School Host Club);Haruhi Fujioka;A person can change, at the moment when the person wishes to change.;;;;;;;;
4393;(Naruto);Obito Uchiha;Somewhere inside of me?! Take a good look, there's nothing inside of me anymore!!! I don't feel pain, I don't feel anything! You need to let that guilt go Kakashi. This wind hole wasn't your doing... It was made by this evil, cruel world.;;;;;;;;
4394;(Gintama);Gintoki Sakata;Everyone's carrying something that matters. You just don't realize when you're carrying it. It's only after it slips out of your hand that you realize how heavy it was in the first place. So many times I thought that I'd never carry a load like that ever again. And yet, before I realized it, I was carrying it again. I'd feel so much better if I just got rid of it. But I just can't bring myself to do it.;;;;;;;;
4395;(Katekyo Hitman Reborn!);Tsunayoshi Sawada;I consider everything that happened to be precious moments of my life. The pain. The suffering. The fun… And I am here right now, because everyone was there for me. I couldn't have accomplished anything by standing still, without anybody's help. I treasure every moment I have spent here. Unlucky? I feel pretty lucky. This is my resolve.;;;;;;;;
4396;(Kuroko No Basket);Tetsuya Kuroko;I am a supporting actor, a shadow. But a shadow will become darker if the light is stronger and it will make the white of the light stand out. As the shadow of the main actor, I will make you, the light, the number one in Japan.;;;;;;;;
4397;(Legend of the Galactic Heroes);Reinhard von Lohengramm;No matter the era, whichever the society, people always gaze at the stars when young. Then they stretch out their hands and try to catch them. And then one day, they realize their arms are not long enough to catch the stars, and that's when they grow up.;;;;;;;;
4398;(Great Teacher Onizuka);Eikichi Onizuka;You know, when I was in high school, I was a troublemaker. I hardly went to school. Before I knew it, I was expelled. When I couldn't go anymore, was when I first realized, that school was a great thing. There's a lot of friends and lots of fun things. When I got this old, I wanted even more to go to school. That's why I became a teacher. Because, if I become a teacher, I could stay in school until I die, right? That's why I'm really happy now. I want you to be like that too. I want you to like school. Once it's over, it's too late.;;;;;;;;
4399;(xxxHOLiC);Yuuko Ichihara;Family is other people. No matter how close your blood relationship is... no matter what your relationship may be... anyone other than you is not you! And so you have to think it over and decide for yourself! Take away other people's wants and needs, and decide if this is something that is necessary for you! It may cause hardships to others, but you want it. That's your free will right there! But you ignore that and decide based on someone else's advice, because decency demands it, because people say it's awful, you will fail and quit. No one could succeed that way! You don't understand what you're trying to do. With that as your background, how do you expect to make a promise to yourself? But the opposite way... there are risks there too, of course. If you decide to take the action that best suits you, there will be people who won't understand. People will be saddened by your actions.;;;;;;;;
4400;(Dragon Ball);Frieza;There are three things I cannot tolerate: cowardice, bad haircuts, and military insurrection. It is very unfortunate that our friend Vegeta possesses all three of these.;;;;;;;;
4401;(Kanon);Shiori Misaka;It would be enough for the depressing things in life to only exist in reality. It is because that I think the birth of a story is from people dreaming of a happy ending.  ;;;;;;;;
4402;(Kuroshitsuji);Ciel Phantomhive;We as humans have the power to do such, but whether we grab on to the thread or not is a choice we make.;;;;;;;;
4403;(Wolf's Rain);Spirit Owl;When are we born? When do we die? Why are we born? Why do we die? The world has been destroyed and we've fallen countless times, always resurrecting from the ashes as Paradise. It has happened before, and it will happen again. An endless cycle of life and death. The world is a Paradise that was opened by someone, but this era too is almost at an end. We have acquired the means to exceed our natural span of life, never suspecting that the world itself was finalized in its existence. This knowledge has left me in despair, my fate has fallen and scattered like the petals of a dying flower, like the blast from a sand storm it has been worn down and weathered away. As if to be purified, the world will be encased in ice so that it can return to the beginning once more. Paradise is a world that is opened by someone...  ;;;;;;;;
4404;(Eyeshield 21);Hiruma Youichi;If sorry could solve anything, we wouldn't have a need for the police. ;;;;;;;;
4405;(Zetsuen No Tempest);Aika Fuwa;Rumors, at times, can be more severe than the truth.;;;;;;;;
4406;(Hataraku Maou-sama!);Maou Sadao;I've never seen a hero fall down stairs, cry, and get first aid from demons.;;;;;;;;
4407;(Mobile Suit Gundam Seed);Lacus Clyne;The choice we're making might be one of evil as well. For we call for peace, but with weapons in our hands. Nevertheless, allow us to break of endless conflict. Give us strength.;;;;;;;;
4408;(Sekai Ichi Hatsukoi);Ritsu Onodera;Maybe it would be just like in the mangas. I'd tell him I love him and then we cut to the happy ending.;;;;;;;;
4409;(Gakuen Alice);Narumi Anjo;Life sometimes deals you a bad hand and you make a lot of mistakes along the way, but as long as you believe in yourself and walk along your chosen path with a smile, everything will be alright. ;;;;;;;;
4410;(Neon Genesis Evangelion);Gendou Ikari;Mankind's greatest fear is Mankind itself.  ;;;;;;;;
4411;(Serial Experiments Lain);Arisu Mizuki;If you aren't remembered, then you never existed.;;;;;;;;
4412;(Fairy Tail);Mavis Vermillion;Unwavering Faith and Resilient Bonds will bring even miracles to your side.;;;;;;;;
4413;(Zetsuen No Tempest);Aika Fuwa;Just because it's illogical, that doesn't make it wrong.;;;;;;;;
4414;(Mawaru Penguindrum);Sanetoshi Watase;Let´s see how many people you can kill with the power of love.;;;;;;;;
4415;(Fruits Basket);Sohma Momiji;However, I can't be happy. I feel I can't have that experience, I can't assume I will have that experience. I'm free, but feeling lonely and disheartened. I hope there's happiness out there. Besides, the future is approaching and waiting for me. In the future, I will be a part of the world. I will finally live my life.  ;;;;;;;;
4416;(Kuroshitsuji);Grell Sutcliff;Look what happens when you're not fast enough! You get CUT! It's more fun when it hurts a little bit though, isn't it?;;;;;;;;
4417;(Sekai Ichi Hatsukoi);Ritsu Onodera;Usually, he just abuses everyone. Normally, he's so sarcastic. But now he's holding me as if I were something precious.;;;;;;;;
4418;(Bakuman);Akito Takagi;"I think manga and life are the same thing. A weekly manga lasts for a week, and life lasts until you die. It's making the best of whatever time you're given. So, you can't hold back. ""Conceit"" and ""Luck"" are important, but the most important one is ""Hard Work"".";;;;;;;;
4419;(Rurouni Kenshin);Kenshin Himura;You believe that the strong exist to cull the weak. To use them as food. But you are mistaken... The strong exist, not to feed off of the weak, but to protect them! ;;;;;;;;
4420;(Fruits Basket);Sohma Momiji;I want to believe that memories, even sad and painful ones, should not be forgotten forever.;;;;;;;;
4421;(Mahou Shoujo Madoka Magica);Mami Tomoe;You shouldn't want to be like me, I'm... just trying to act cool. No matter how scary it is, how hard it is, I can't talk to anyone about it. I always cry alone. Being a Magical Girl isn't good at all.;;;;;;;;
4422;(Spice and Wolf);Horo;When a person lies, what is important is not the lie itself. No, it is their reason. Their why.;;;;;;;;
4423;(Shinsekai Yori);Shun Aonuma;We ultimately fear what spawns from within us.;;;;;;;;
4424;(Yami no Matsuei);Kazutaka Muraki;Because I love you, I want to rip you apart. I want to pile corpses before you.;;;;;;;;
4425;(Pokémon);Mewtwo;I now see that the circumstances of birth are irrelevant. It is what you do with the gift of life that determines who you are.;;;;;;;;
4426;(Hyouka);Satoshi Fukube;Even if I did win, it was boring. How can it be interesting unless you win in an interesting way?;;;;;;;;
4427;(Hyouka);Eru Chitanda;If you can never get angry at anything, that probably means you have nothing that you like, either.;;;;;;;;
4428;(Tonari No Kaibutsu-kun);Misawa Kyouko;Humans will wither away if they're always alone. The only remedy would be to seek out other people.;;;;;;;;
4429;(Zetsuen No Tempest);Yoshino Takigawa;But even if I acted sad over it, nothing would change. Even if I cry, nothing would change.;;;;;;;;
4430;(Zetsuen No Tempest);Aika Fuwa;The subtle light that is born when people's feelings come together. That light embraces felicity, evil, sin, and happiness. The light blazes forth... illuminating the whole truth.;;;;;;;;
4431;(Zetsuen No Tempest);Mahiro Fuwa;We don't know if this world is real or a dream. Maybe the world until now has been a convenient fake. But magic will probably disappear now. The dream is over.;;;;;;;;
4432;(Naruto);Jiraiya;Rejection makes a man stronger.;;;;;;;;
4433;(Fairy Tail);Mavis Vermillion;There are walls that can't be broken through power alone. But if there is a power that can break through those walls, it is the power of feelings.;;;;;;;;
4434;(Tonari No Kaibutsu-kun);Shizuku Mizutani;Once you've recognized your mistakes, it's easy enough to correct them.;;;;;;;;
4435;(Zetsuen No Tempest);Yoshino Takigawa;Miracles are irrational by nature.;;;;;;;;
4436;(Naruto);Itachi Uchiha;Teachings that do not speak of pain have no meaning, for humankind cannot gain anything in return.;;;;;;;;
4437;(Zetsuen No Tempest);Aika Fuwa;The actors on stage cannot ignore their scripts and do as they wish. If they make a beautiful exit, I feel they fulfill their role.;;;;;;;;
4438;(Accel World);Kuroyukihime;You are really red. It would be fun to hang you from a traffic light, and stop cars.;;;;;;;;
4439;(Chihayafuru);Ooe Kanade;A woman must always move with grace, whether you're wiping a table or drying sheets. Or in the fight for your life.;;;;;;;;
4440;(Jormungand);Koko Hekmatyar;I hate humans. I find the thought that I'm from the same species to be depressing.;;;;;;;;
4441;(Aah! Megami-Sama);Belldandy;People have the strength to overcome their obstacles – everyone can.;;;;;;;;
4442;(Revolutionary Girl Utena);Anthy Himemiya;You really don't know what happened, do you? It doesn't matter. By all means, stay in this cozy coffin of yours and continue to play prince. But I have to go now. She's not gone at all, she merely vanished form your world. Farewell.  ;;;;;;;;
4443;(Fullmetal Alchemist: Brotherhood);Lust;Blood calls for blood, while hatred begets hatred, and the energy that comes forth begins to take root in this earth and engraves a crest of blood. They never learn, no matter how many times history is repeated. Humans are foolish, sorrowful creatures.;;;;;;;;
4444;(Zetsuen No Tempest);Mahiro Fuwa;Only sadness can counter sadness.;;;;;;;;
4445;(Zetsuen No Tempest);Aika Fuwa;It might be for the better if there are amusing people around me. Because any tragedy may seem a comedy, as long as I am with them.;;;;;;;;
4446;(Tonari No Kaibutsu-kun);Kenji Yamaguchi;If you can't give up one, learn to balance both at the same time. Why does it have to be all or nothing?;;;;;;;;
4447;(Tonari No Kaibutsu-kun);Shizuku Mizutani;Studying was fun. I enjoyed solving problems quickly, and I was rewarded for the effort I put in. Studying made me feel complete.;;;;;;;;
4448;(Aah! Megami-Sama);Celestin;The gods have, since ancient times, created methods to test humans. The system God has created... it opposes all living creatures and splits the world. It condemns people to roles. Heaven pretends they can't see the suffering of the people. Only the lucky few find the way. The pain of those beings reaches deep into my heart. I want to counter this discrimination and extend a helping hand. In order to do that, the only thing that can be done is to create a new system! See... this is what God has wrought... I cannot allow such a system to continue! This is the will of my quarrel with Heaven. I would like you to come with me. If I had your help, even the weak-of-heart could have their wishes fulfilled. So that everyone can be equal and happy, I wish to reach out.;;;;;;;;
4449;(Tonari No Kaibutsu-kun);Misawa Mitsuyoshi;Love is good. It changes people, for better or for worse. You could look at it as a chance for you to change. The best kind of love helps you grow up.;;;;;;;;
4450;(Zetsuen No Tempest);Aika Fuwa;The beginning is the end, and the end is the beginning. Well then, let us begin again. And to each, their own tale.;;;;;;;;
4451;(Yu Yu Hakusho);Kurama;"It most certainly isn't pleasant being called a ""traitor"" by creatures you've never met.";;;;;;;;
4452;(Haibane Renmei);Renmei Communicator;To know your sin is to have no sin.;;;;;;;;
4453;(Naruto);Madara Uchiha;Nine-Tails, you are merely a momentary life, a temporary existence of coalesced energy... energy that once was a single, ultimate form! An unstable force, lacking in intelligence or sapience, you require a guide to show you purpose. That guide is the Uchiha! The tailed beasts are but slaves to those with blessed eyes. Obey!;;;;;;;;
4454;(Hellsing);Montana Max;"Very well. Then krieg(German for ""war"") is what you shall have. We are a clenched fist, ready to strike down all who oppose us with our might. But, after enduring over half a century wallowing in the darkness, for us, a simple, ""ordinary"" war will no longer be sufficient. We need a massive war! A war beyond any other that man's history has ever known! We are but a single battalion, the remnants of a defeated army numbering less than a thousand strong. However, I believe that each of you old warriors is worth a thousand of their sickly soft children! We represent a force that could easily defeat an army of a million and one men!";;;;;;;;
4455;(Mawaru Penguindrum);Sanetoshi Watase;"You see, there was this girl and she just appeared out of the blue. To my surprise, she was the same kind of person as me, and she had the same kind of eyes, at first sight, I realized I wasn't a solitary existence in this world, I was so happy. That's right, until I met her, I was all alone in this world, I had not a soul with whom to share the scenery before my eyes, and not a soul with whom to share the music in my ears. But...I heard the voices all over the world, I could hear the whole world crying out, ""save me"". It's true, thus I could see the optimal path of the world. But it saddened me, because the moment I saw her - I knew we were never meant to be, yes, she refused to side with me. She rejected me - the only person who could see the same scenery.";;;;;;;;
4456;(His and Her Circumstances);Soichiro Arima;People who know how painful it can be to be alive, are fascinating.;;;;;;;;
4457;(Tonari No Kaibutsu-kun);Shizuku Mizutani;At least in academics, you can control the outcome, whether it's good or bad.;;;;;;;;
4458;(Cowboy Bebop);Spike Spiegel;I felt like I was watching a dream I'd never wake up from. Before I knew it, the dream was all over.;;;;;;;;
4459;(Yahari Ore No Seishun Love Come Wa Machigatteiru);Hachiman Hikigaya;Aside from the fact that I don't have any friends or girlfriends, I'm still a high quality product!;;;;;;;;
4460;(Bakuman);Akito Takagi;I don't mind the regret, if I fail in attempt to achieve my dreams. What I don't wanna regret is not chasing those dreams.;;;;;;;;
4461;(Shingeki no Kyojin);Eren Jaeger;If you think reality is just living comfortably and following your own whims, can you seriously dare to call yourself a soldier?;;;;;;;;
4462;(Zetsuen No Tempest);Hakaze Kusaribe;When you do something for the man you love, instead of for the world, it's easier to decide what must be done. Ultimately, it's better to do things for someone rather than something.;;;;;;;;
4463;(Zetsuen No Tempest);Mahiro Fuwa;Hamlets mistake is that he believed in something like a ghost, that doesn't exist. The second he believed in something irrational, he was doomed. Those are just delusions imagined by the living. Once you're dead, that's it. The dead don't return, nor do they hear our wishes. It's all an illusion. Things you forgot to say, things you couldn't say... they want ghosts to hear them, so they dream one up. It's also possible that people imagine their desire as ghosts.;;;;;;;;
4464;(Zetsuen No Tempest);Yoshino Takigawa;A girlfriend isn't something you get just because you want one. You meet someone you like, and you want to spend time together. That's why you'd want that person as your girlfriend, right?;;;;;;;;
4465;(Zetsuen No Tempest);Aika Fuwa;Everything happens for a reason. The daily tragedies and misfortunes are all meaningful events, leading toward an ideal conclusion. With that in mind, there probably isn't really any meaningless misfortune.;;;;;;;;
4466;(Bakuman);Kazuya Hiramaru;Why do people have to work? I just want to eat and sleep. I should have born as a panda at the zoo.;;;;;;;;
4467;(Bakuman);Moritaka Mashiro;I prefer to be a humble dreamer, with visions to be realized, rather than the ruler of people with no dreams or desires.;;;;;;;;
4468;(Yahari Ore No Seishun Love Come Wa Machigatteiru);Hachiman Hikigaya;Bears are creatures that feel no insecurity in living alone. They're an animal that lives in isolation. Plus, they can hibernate. What a fabulous thing that is. If I were to be reborn, I definitely want to be a bear.;;;;;;;;
4469;(Boku wa Tomodachi ga Sukunai);Kodaka Hasegawa;Judging things based on looks alone... That's just cruel.;;;;;;;;
4470;(Myself ;;;;;;;;;;
4471;(Sakurasou no Pet na Kanojo);Lida Ayano;The best way to write a realistic romance is to first be in love. Everyone can write a love story from their life.;;;;;;;;
4472;(Zetsuen No Tempest);Mahiro Fuwa;To you, life was just something you acted out and ended, all according to someone else's script. That's why you were always quoting Shakespeare. However, Aika, I say that you were wrong! You did what you shouldn't have, and didn't do as you should have. Because you relied on someone else's script, you were wrong. I won't live my life by another person's script. Not by Hamlet or The Tempest. I don't know how many years in the future it will be... but I'll write and act my own ending.;;;;;;;;
4473;(Psycho-Pass);Akane Tsunemori;The law doesn't protect people. People protect the law. People have always detested evil and sought out a righteous way of living. Their feelings, the accumulation of those peoples feelings are the law. They're neither the provisions, nor the system. They're the fragile and irreplaceable feelings that everyone carries in their hearts.;;;;;;;;
4474;(Fate/zero);Tohsaka Tokiomi;"From the moment a magus is born, he is someone that has ""power"". And some day, he will achieve a ""greater power"". This responsibility was already flowing in his ""blood"" before he realized this destiny. That is what it means to be born into this world as the child of a magus.";;;;;;;;
4475;(Hellsing);Montana Max;At last, the sea lion has crossed the ocean and is heading up the hill! Attention soldiers of the Millennium battalion, this is a message from your commander! Friends, let's bring them Hell.;;;;;;;;
4476;(Ouran High School Host Club);Mitsukuni Haninozuka;I like people who put in effort, even if they're not good at it. ;;;;;;;;
4477;(Durarara!!);Izaya Orihara;Your guilt will be your past and that will be your God.;;;;;;;;
4478;(Bokura ga Ita);Motoharu Yano;Human memories aren't reliable. Your brain will add something or just glorify it, memories make you believe what happened was better than it actually was.;;;;;;;;
;;;;;;;;;;;
4484;(Tonari No Kaibutsu-kun);Shizuku Mizutani;The old me would never have known how blue the afternoon sky looks from the roof. My world is growing. What I once considered background noise is now comforting.;;;;;;;;
4485;(Sakurasou no Pet na Kanojo);Kazuki Fujisawa;Sometimes, your future is already set, and there's nothing you can do about it. There are some things you just can't change, no matter how hard you work. Unfair, don't you think? It isn't an easy fact to accept, and I'm not telling you to, but that's just how life is. Unfair.;;;;;;;;
4486;(Fate/zero);Rider;Only a man brave enough to ride into battle at my side could ever be my Master. A coward lacking the courage to even show himself is nowhere close to being worthy!;;;;;;;;
4487;(Mawaru Penguindrum);Sanetoshi Watase;"In the human world, truth and reality aren't always one and the same. Humans just call their desires and ambitions as ""truth"". Humans will even kill other humans if they have ""truth"" as an excuse.";;;;;;;;
4488;(Death Note);Misa Amane;What do you mean I use my sexual charm?!;;;;;;;;
4489;(Tonari No Kaibutsu-kun);Shizuku Mizutani;If you leave, I'll probably be sad. However, if there's somewhere else you'd rather be, you should admit it. Don't lose sight of what you really want.;;;;;;;;
4490;(Tonari No Kaibutsu-kun);Kenji Yamaguchi;You can't feel lonely if there's no one else around.;;;;;;;;
4491;(Madlax);Laetitia;"""Falsity"" is changing the truth. ""Ignorance"" is not realizing the truth. ""Incompetence"" is being unable to fully grasp the truth.";;;;;;;;
4492;(Hellsing Ultimate);Montana Max;Then let me ask you, if your God would allow my madness to flourish across the globe, then wouldn't it seem to you that any god like that would be just as mad as I?;;;;;;;;
4493;(Shingeki no Kyojin);Grisha Jaeger;Karla, nothing can surpass a human's curiosity. ;;;;;;;;
4494;(Cowboy Bebop);Faye Valentine;The past is the past and the future is the future. A man is a man and a woman is a woman. The present is the present. I am who I am and you are who you are. That's all there is to it. Does it really matter? Or do we just think it does? ;;;;;;;;
4495;(Cowboy Bebop);Laughing Bull;Do not fear Death. Death is always at our side. When we show fear, it jumps at us faster than light. But, if we do not show fear, it casts its eye upon us gently and then guides us into infinity. ;;;;;;;;
4496;(Princess Tutu);Drosselmeyer;And so, the prince and the princess lived happily ever... Happily!? Happiness in stories is, at most, a trifling matter of a couple of lines at the end — the epitome of boredom. Now, show me a magnificent tragedy! A cataclysm of tears from which not one of the players is saved, and to which a happy ending never comes!;;;;;;;;
4497;(Cowboy Bebop);Faye Valentine;Survival of the fittest is the law of nature. We deceive or we are deceived. Thus, we flourish or perish. Nothing good ever happened to me when I trusted others. That is the lesson. ;;;;;;;;
4498;(Cowboy Bebop);Jet Black;Men always seem to think about their past before they die, as though they were frantically searching for proof that they truly lived. ;;;;;;;;
4499;(Psycho-Pass);Makishima Shougo;I think the only time people really have value is when they act according to their own will.;;;;;;;;
4500;(Shakugan no Shana);Shana;No matter how much everyone loves me, and no matter how much I love everyone - if I don't like it, I just can't do it.;;;;;;;;
4501;(Mahou Shoujo Lyrical Nanoha);Nanoha Takamachi;Nothing is forever. Everyone changes. They have to! Even I and so do you.;;;;;;;;
4502;(El Cazador de la Bruja);Jodie Hayward;Hearts are fragile. But hearts that support each other are as strong as steel.;;;;;;;;
4503;(Tonari No Kaibutsu-kun);Yoshida Haru;I never had anything this good before. I guess everything tastes good when I'm with you.;;;;;;;;
4504;(Tonari No Kaibutsu-kun);Shizuku Mizutani;It's a waste of time to bother with anything uncertain.;;;;;;;;
4505;(Yu-Gi-Oh!);Tea Gardner;*to Kaiba* Yugi may have lost one lousy Duel Monsters game, but at least he hasn't lost his heart! Not like you - you've spent so much time with your machines, you've forgotten what being human is about! Yugi has a heart, Kaiba. Yugi has us. And what about you, Seto Kaiba? What do you have at the end of the day? Tell me. Tell me!;;;;;;;;
4506;(Yahari Ore No Seishun Love Come Wa Machigatteiru);Yukino Yukinoshita;People who don't work hard don't have the right to be envious of the people with talent. People fail because they don't understand the hard work necessary to be successful.;;;;;;;;
4507;(Mawaru Penguindrum);Momoka Oginome;I think everything in this world is beautiful. The sky, birds, bugs, frogs, flowers, and even rocks. Because, if God created this world, could there really be anything dirty and ugly in it?;;;;;;;;
4508;(Tonari No Kaibutsu-kun);Yoshida Haru;I'm no expert, but I think people mope when their expectations are too high. It's tiring when you always have to overachieve. Don't overdo it. Just work on achieving what you can.;;;;;;;;
4509;(Tonari No Kaibutsu-kun);Shizuku Mizutani;Real friends wouldn't use you for your money. I don't have any friends, so I'm no expert, but I'd rather have no friends than have friends like them.;;;;;;;;
4510;(xxxHOLiC);Yuuko Ichihara;There are two types of dreams. Dreams from when you're awake and dreams from when you sleep. And both of those can become reality, if you strongly wish for it.;;;;;;;;
4511;(Death Note);L Lawliet;I have two rules: First, I'm never wrong. Second, if I'm wrong... back to the first rule.;;;;;;;;
4512;(Mawaru Penguindrum);Sanetoshi Watase;None of you will ever escape the curse, as I could not. Residents of the boxes like you could never gain anything. You will all simply disappear without leaving anything behind in this world. You won't even leave a fleck of dust behind - you will never be happy!;;;;;;;;
4513;(Mawaru Penguindrum);Himari Takakura;It's no use. It's akin to love. Akin to the first kiss. It only works once.;;;;;;;;
4514;(Psycho-Pass);Makishima Shougo;Everyone is alone. Everyone is empty. People no longer have need of others. You can always find a spare for any replacement. Any relationship can be replaced.;;;;;;;;
4515;(Kuroshitsuji);Ciel Phantomhive;I'm afraid when something is truly lost, one can never get it back again.;;;;;;;;
4516;(Mawaru Penguindrum);Sanetoshi Watase;"What do you think of the word ""fate""? Does the concept of fate exists in reality? To put it simply, are people's futures set in stone when they are born, never to be challenged? Do you believe in such a rule? ";;;;;;;;
4517;(Sakurasou no Pet na Kanojo);Kazuki Fujisawa;To create something that appeals to the emotions of users, you need to make something that sways your own heart. You can't move others hearts, unless you can move your own. ;;;;;;;;
4518;(Fate/zero);Kayneth Archibald El-Melloi;(to Kiritsugu) I shall not let you die easily. I shall use healing magic to regenerate your heart and lungs, while I rend every inch of your flesh. In pain and despair, you will die as you suffer. And while you die, you will curse them... You will curse the cowardice of those who hired you! You will curse the Einzbern's for disgracing the Holy Grail War!;;;;;;;;
4519;(Fate/zero);Rider;Fail to strike the enemy once you know their location, and it'll be too late to even regret having missed the chance.;;;;;;;;
4520;(Fate/zero);Tohsaka Tokiomi;Strive to consistently maintain the proper flow. That is the Tohsaka family motto. It means always remaining reserved and elegant.;;;;;;;;
4521;(Fullmetal Alchemist);Edward Elric;I'm not short, I just live in a big world.;;;;;;;;
4522;(CLANNAD);Okazaki Tomoya;You should cry while you still can. When you get bigger, sometimes, you can't cry even if you have something you wanna cry about.;;;;;;;;
4523;(Fate/zero);Rider;Rarely does one have the chance to exchange blows with heroes from another age. And with the chance to fight as many as six, I can't allow one of them to fall right now. Look at Saber and Lancer. Both are valiant warriors I would love to duel with. It'd be a pity to let either die.;;;;;;;;
4524;(One Piece);Sanji;Men who can't wipe away the tears from a women's eyes, aren't real men.;;;;;;;;
4525;(Fate/zero);Lancer;Before I am a Servant, I am a knight. I can only serve but one lord.;;;;;;;;
4526;(Mobile Suit Gundam Wing);Duo Maxwell;Why did I rescue this guy in the first place? He's anti-social, thinks he's evil kenevil, and hardly speaks. You've got such a gloomy personality, why don't you stop pretending to be human.;;;;;;;;
4527;(Dragon Ball);Vegeta;It's amazing how every time you open your mouth, you manage to prove you're an idiot.;;;;;;;;
4528;(Detective Conan);Ai Haibara;Don't judge people from the outside. Like any rose has thorns, the more the person appears nice on the outside, the more you should doubt the inside.;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
4531;(Fullmetal Alchemist);Maes Hughes;In general, men prefer to let their actions speak instead of words. When they're in pain, they don't want to burden anyone with it, not if they can help it. They don't want anyone to worry about them. That's how they are. Even so, there may come a time when they'll ask for your help. And when they do, I know that you'll be there for them. Isn't that enough?;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
4534;(Hayate no Gotoku!);Nagi Sanzenin;SLEEPING is the only TALENT I have.;;;;;;;;
4535;(Psycho-Pass);Makishima Shougo;Books are not something that you just read words in. They're also a tool to adjust your senses.;;;;;;;;
4536;(The Big O);Roger Smith;We have choices. Some people like to stand in the rain without an umbrella. That's what it means to live free.;;;;;;;;
4537;(The Big O);Michael Seebach;I've lived my life as a newspaper reporter. I uncover the truth and write my articles. But then I learned, all too well, that a mere reporter like myself can't ever get to the truth in this city... it's nearly impossible. And it's unsure! No one here is even interested in learning the truth - a truth that must be known. But I want to know! I want to learn what must be known!;;;;;;;;
4538;(The Garden of Sinners);Aozaki Touko;"It's a rule that I've had in my life. Kill anyone who calls me ""Dirty Red"".";;;;;;;;
4539;(Fate/zero);Rider;  A king without greed is even worse than a figurehead! Saber, you said you would become a martyr for your ideals. In life, you must have been a pure saint. A proud and noble figure, certainly. But who can truly admire the martyr's thorny path? Who dreams of such an ending?;;;;;;;;
;;;;;;;;;;;
A king... The king must be greedier than any other. He must laugh louder and rage harder. He must exemplify the extreme of all things; good and evil. That is why his retainers envy and adore him. And why the flames of aspiration; to be as the king is; can burn within his people.   ;;;;;;;;
;;;;;;;;;;;
Proud king of chivalry... The righteousness and ideals you bore may indeed have saved your nation once. However; I'm certain you know what became of those who were saved; but left to themselves.;;;;;;;;;
;;;;;;;;;;;
You saved them; but you never led them. You never showed them what a king should be. You abandoned your men when they lost their way. Then; alone and untroubled; you followed your own petty little ideals.;;;;;;;;
;;;;;;;;;;;
Thus; you are no true king. You are only a little girl; enraptured by a false idol of the king who serves others;" but not themselves.""";;;;;;;;
4540;(Fate/zero);Berserker;I am the alienated, the ridiculed, the despised. No need to praise my name. No need to envy my body. I am the shadow under the radiance of heroic spirits. Birthed of the darkness of glorious legend. And so, I hate, I resent. Nourished by the sighs of the people precipitated within the darkness, people that curse the light. This is my disgrace. Because of her unsullied glory, I must forever be belittled. You are, the sacrifice. Good, give me more, your blood and flesh, your life. Let them ignite my hatred!!;;;;;;;;
4541;(Naruto);Pain;Love is the reason why there is pain. When we lose someone precious to us, hate is born. Vengeance is the product of that hate and so death follows. But in death there is only more death. This will give rise to more pains. In this cursed world we live in, it is a cycle of hatred that will not cease. You and I seek the same thing that Jiraiya-sensei wanted. Let me ask you this: How will you confront this hatred in order to create peace?;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
4544;(Saint Seiya: The Lost Canvas);Scorpio Kardia;Life will someday extinguish. Why don't you start burning it now?;;;;;;;;
4545;(Bleach);Kurotsuchi Mayuri;I hate perfection. To be perfect is to be unable to improve any further.;;;;;;;;
4546;(Pandora Hearts);Oz Vessalius;Strength begins in understanding your own weakness.;;;;;;;;
